노선번호,﻿ISC노선ID,회사명,기점정류소명,종점정류소명,기점첫차시간,기점막차시간,운행시간,노선인가거리,면허대수,인가운행횟수,최소배차간격,최대배차간격,평균배차간격
523,28208001,도영운수,동춘동종점,인명여자고등학교,04:40:00,2300,02:23:00,36.5,13,100,11,12,00:11:30
523-1,28208002,도영운수,동춘동기점,주안역,05:00:00,2300,02:00:00,28.7,6,54,20,,00:20:00
524,28206006,명진교통,원인재역(1번출구),원동초등학교,05:45:00,2300,01:19:00,17.33,4,52,19,20,00:19:30
526,28510006,신화여객,삼산체육관역,신성미소지움,06:00:00,2230,01:30:00,17.31,4,44,19,26,00:22:30
53(강화),28032072,강화선진버스,강화터미널,강화터미널,14:20:00,2000,03:40:00,1,1,2,340,470,05:40:00
530,28511011,해성운수,새소망교회,새소망교회,06:00:00,2300,00:36:00,3.9,1,28,36,36,00:36:00
531,28214002,삼환운수,효성상아아파트,동암남부역,05:00:00,2340,00:49:00,7.99,3,68,13,20,00:16:30
533,28247001,삼환여객,만수신동아아파트,동암남부역,05:04:00,2400,00:45:00,10,9,211,4,5,00:04:30
534,28247002,삼환여객,수현부락,신세계백화점(인천터미널),05:10:00,2320,01:08:00,14.5,7,112,10,10,00:10:00
535,28216004,성원운수,뒷방죽들,동암남부역,05:10:00,2320,02:09:00,24.94,12,89,11,13,00:12:00
535-1,28216005,성원운수,운연동,운연동,06:50:00,2035,01:05:00,18.81,1,11,80,80,01:20:00
536,28216006,성원운수,인천대공원후문(장수동),동암남부역,04:40:00,2340,01:55:00,20.81,13,128,7,11,00:09:00
537,28216001,성원운수,남동공단입구,동암남부역,04:40:00,2320,02:22:00,29,11,86,11,15,00:13:00
538,28216002,성원운수,만수중(대토단지),동암남부역,04:27:00,2402,01:29:00,15.6,9,117,8,12,00:10:00
539,28216003,성원운수,새마을금고,동암남부역,05:00:00,2345,00:28:00,5.66,4,160,6,8,00:07:00
54(강화),28032073,강화선진버스,강화터미널,강화터미널,06:05:00,2040,03:40:00,1,1,8,45,185,01:55:00
540,28214003,삼환운수,540번 종점,간석남부역,05:00:00,2330,01:09:00,11.22,6,96,9,14,00:11:30
55(강화),28032074,강화선진버스,강화터미널,강화터미널,06:00:00,2020,03:40:00,1,1,8,60,160,01:50:00
551,28217001,성산여객,청천농장(종점),부평역,04:59:00,2335,01:12:00,13.83,7,108,8,13,00:10:30
552,28510001,신화여객,미추홀아파트,백운역,06:00:00,2300,00:38:00,5.28,1,26,36,40,00:38:00
555,28510004,신화여객,진산초등학교,부평역,05:00:00,2310,01:28:00,15.19,8,98,10,12,00:11:00
556,28228001,태양여객,차고지,범양아파트,05:15:00,2230,02:40:00,26.4,11,75,11,16,00:13:30
557,28511015,해성운수,희망천입구,부평역,05:20:00,2400,00:33:00,4.68,4,101,9,13,00:11:00
